timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1782115743522,336,GET Especialidades,200,OK,10 Hilos CRUD 1-10,text,true,,811,408,10,10,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,336,0,0
1782115743542,363,GET Especialidades,200,OK,10 Hilos CRUD 1-5,text,true,,811,408,10,10,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,205,0,0
1782115743553,354,GET Especialidades,200,OK,10 Hilos CRUD 1-8,text,true,,811,408,10,10,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,354,0,0
1782115743573,346,GET Especialidades,200,OK,10 Hilos CRUD 1-9,text,true,,811,408,10,10,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,193,0,0
1782115743585,348,GET Especialidades,200,OK,10 Hilos CRUD 1-4,text,true,,811,408,10,10,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,348,0,0
1782115743601,348,GET Especialidades,200,OK,10 Hilos CRUD 1-6,text,true,,811,408,10,10,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,347,0,0
1782115743618,346,GET Especialidades,200,OK,10 Hilos CRUD 1-7,text,true,,811,408,10,10,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,346,0,0
1782115743692,351,GET Especialidades,200,OK,10 Hilos CRUD 1-3,text,true,,811,408,10,10,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,200,0,0
1782115743694,350,GET Especialidades,200,OK,10 Hilos CRUD 1-1,text,true,,811,408,10,10,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,349,0,0
1782115743694,350,GET Especialidades,200,OK,10 Hilos CRUD 1-2,text,true,,811,408,10,10,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,350,0,0
1782115743859,353,POST Agregar Especialidad,400,Bad Request,10 Hilos CRUD 1-10,text,false,,530,481,10,10,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,353,0,0
1782115744043,202,POST Agregar Especialidad,400,Bad Request,10 Hilos CRUD 1-3,text,false,,530,481,9,9,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,201,0,0
1782115743906,353,POST Agregar Especialidad,400,Bad Request,10 Hilos CRUD 1-5,text,false,,530,481,8,8,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,353,0,0
1782115743911,350,POST Agregar Especialidad,400,Bad Request,10 Hilos CRUD 1-8,text,false,,530,481,8,8,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,348,0,0
1782115743920,340,POST Agregar Especialidad,400,Bad Request,10 Hilos CRUD 1-9,text,false,,530,481,8,8,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,340,0,0
1782115743949,341,POST Agregar Especialidad,400,Bad Request,10 Hilos CRUD 1-6,text,false,,530,481,5,5,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,341,0,0
1782115743934,357,POST Agregar Especialidad,400,Bad Request,10 Hilos CRUD 1-4,text,false,,530,481,5,5,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,196,0,0
1782115743965,356,POST Agregar Especialidad,400,Bad Request,10 Hilos CRUD 1-7,text,false,,530,481,3,3,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,356,0,0
1782115744044,338,POST Agregar Especialidad,400,Bad Request,10 Hilos CRUD 1-2,text,false,,530,481,2,2,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,338,0,0
1782115744044,338,POST Agregar Especialidad,400,Bad Request,10 Hilos CRUD 1-1,text,false,,530,481,2,2,https://ingenious-smile-production-f4df.up.railway.app/api/tarotistas/2/especialidades,338,0,0
