timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1782116021267,801,Login,200,OK,500 Usuarios Carga 1-27,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,801,0,367
1782116020186,1960,Login,200,OK,500 Usuarios Carga 1-18,text,true,,843,275,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,1959,0,1359
1782116021536,834,Login,200,OK,500 Usuarios Carga 1-29,text,true,,843,275,36,36,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,834,0,243
1782116020067,2016,Login,200,OK,500 Usuarios Carga 1-17,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2015,0,1510
1782116019006,3108,Login,200,OK,500 Usuarios Carga 1-4,text,true,,843,275,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,3108,0,2561
1782116020539,1612,Login,200,OK,500 Usuarios Carga 1-21,text,true,,843,275,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,1611,0,1056
1782116021625,775,Login,200,OK,500 Usuarios Carga 1-30,text,true,,843,275,36,36,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,775,0,363
1782116019468,2584,Login,200,OK,500 Usuarios Carga 1-12,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2583,0,2095
1782116019825,2243,Login,200,OK,500 Usuarios Carga 1-15,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2242,0,1752
1782116021396,840,Login,200,OK,500 Usuarios Carga 1-28,text,true,,843,275,35,35,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,837,0,292
1782116019004,3053,Login,200,OK,500 Usuarios Carga 1-1,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,3053,0,2510
1782116019703,2444,Login,200,OK,500 Usuarios Carga 1-14,text,true,,843,275,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2444,0,1887
1782116020424,1637,Login,200,OK,500 Usuarios Carga 1-20,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,1579,0,1117
1782116019006,3057,Login,200,OK,500 Usuarios Carga 1-3,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,3037,0,2516
1782116019231,2913,Login,200,OK,500 Usuarios Carga 1-10,text,true,,843,275,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2912,0,2354
1782116021157,899,Login,200,OK,500 Usuarios Carga 1-26,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,891,0,422
1782116019594,2461,Login,200,OK,500 Usuarios Carga 1-13,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2460,0,1964
1782116019006,3142,Login,200,OK,500 Usuarios Carga 1-2,text,true,,843,275,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,3042,0,2584
1782116019006,3123,Login,200,OK,500 Usuarios Carga 1-7,text,true,,843,275,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,3123,0,2542
1782116020786,1273,Login,200,OK,500 Usuarios Carga 1-23,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,1218,0,802
1782116019941,2118,Login,200,OK,500 Usuarios Carga 1-16,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2108,0,1590
1782116020936,1145,Login,200,OK,500 Usuarios Carga 1-24,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,1110,0,625
1782116019346,2711,Login,200,OK,500 Usuarios Carga 1-11,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2711,0,2167
1782116021024,1153,Login,200,OK,500 Usuarios Carga 1-25,text,true,,843,275,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,1150,0,570
1782116021744,821,Login,200,OK,500 Usuarios Carga 1-31,text,true,,843,275,37,37,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,821,0,337
1782116019006,3052,Login,200,OK,500 Usuarios Carga 1-5,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,3052,0,2543
1782116020303,1758,Login,200,OK,500 Usuarios Carga 1-19,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,1733,0,1244
1782116019004,3050,Login,200,OK,500 Usuarios Carga 1-8,text,true,,843,275,33,33,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,3050,0,2551
1782116020681,1449,Login,200,OK,500 Usuarios Carga 1-22,text,true,,843,275,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,1336,0,862
1782116019110,3002,Login,200,OK,500 Usuarios Carga 1-9,text,true,,843,275,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2933,0,2455
1782116021864,795,Login,200,OK,500 Usuarios Carga 1-32,text,true,,843,275,38,38,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,795,0,363
1782116022549,190,Reservar Sesion,400,Bad Request,500 Usuarios Carga 1-15,text,false,,750,537,39,39,https://ingenious-smile-production-f4df.up.railway.app/api/sesiones,190,0,0
1782116022534,203,Reservar Sesion,400,Bad Request,500 Usuarios Carga 1-18,text,false,,750,537,39,39,https://ingenious-smile-production-f4df.up.railway.app/api/sesiones,203,0,0
1782116022575,194,Reservar Sesion,400,Bad Request,500 Usuarios Carga 1-2,text,false,,750,537,37,37,https://ingenious-smile-production-f4df.up.railway.app/api/sesiones,194,0,0
1782116022558,231,Reservar Sesion,400,Bad Request,500 Usuarios Carga 1-17,text,false,,750,537,36,36,https://ingenious-smile-production-f4df.up.railway.app/api/sesiones,223,0,0
1782116022603,190,Reservar Sesion,400,Bad Request,500 Usuarios Carga 1-22,text,false,,750,537,36,36,https://ingenious-smile-production-f4df.up.railway.app/api/sesiones,187,0,0
1782116022604,191,Reservar Sesion,400,Bad Request,500 Usuarios Carga 1-9,text,false,,750,537,36,36,https://ingenious-smile-production-f4df.up.railway.app/api/sesiones,191,0,0
1782116022529,341,Reservar Sesion,400,Bad Request,500 Usuarios Carga 1-3,text,false,,750,537,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/sesiones,341,0,0
1782116022542,328,Reservar Sesion,400,Bad Request,500 Usuarios Carga 1-26,text,false,,750,537,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/sesiones,328,0,0
1782116022527,344,Reservar Sesion,400,Bad Request,500 Usuarios Carga 1-20,text,false,,750,537,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/sesiones,344,0,0
1782116021986,887,Login,200,OK,500 Usuarios Carga 1-33,text,true,,843,275,34,34,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,886,0,395
