timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1782115598918,2298,Login Tarotista,200,OK,50 Hilos Confirmacion 1-30,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2297,0,1800
1782115598908,2314,Login Tarotista,200,OK,50 Hilos Confirmacion 1-35,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2314,0,1802
1782115598910,2228,Login Tarotista,200,OK,50 Hilos Confirmacion 1-5,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2227,0,1793
1782115598911,2210,Login Tarotista,200,OK,50 Hilos Confirmacion 1-36,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2177,0,1798
1782115598917,2283,Login Tarotista,200,OK,50 Hilos Confirmacion 1-22,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2171,0,1791
1782115598934,2192,Login Tarotista,200,OK,50 Hilos Confirmacion 1-48,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2192,0,1791
1782115598908,2215,Login Tarotista,200,OK,50 Hilos Confirmacion 1-11,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2215,0,1801
1782115598908,2293,Login Tarotista,200,OK,50 Hilos Confirmacion 1-18,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2293,0,1802
1782115598916,2307,Login Tarotista,200,OK,50 Hilos Confirmacion 1-8,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2307,0,1795
1782115598911,2213,Login Tarotista,200,OK,50 Hilos Confirmacion 1-3,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2197,0,1819
1782115598912,2316,Login Tarotista,200,OK,50 Hilos Confirmacion 1-9,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,2316,0,1815
1782115598919,4848,Login Tarotista,200,OK,50 Hilos Confirmacion 1-32,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,4843,0,4057
1782115598907,5647,Login Tarotista,200,OK,50 Hilos Confirmacion 1-38,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,5646,0,5152
1782115598929,6073,Login Tarotista,200,OK,50 Hilos Confirmacion 1-29,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,6073,0,5526
1782115598929,7449,Login Tarotista,200,OK,50 Hilos Confirmacion 1-33,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,7298,0,6958
1782115598914,7563,Login Tarotista,200,OK,50 Hilos Confirmacion 1-17,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,7562,0,4095
1782115598931,8244,Login Tarotista,200,OK,50 Hilos Confirmacion 1-43,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,8244,0,7657
1782115598925,8374,Login Tarotista,200,OK,50 Hilos Confirmacion 1-37,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,8374,0,7961
1782115598923,8908,Login Tarotista,200,OK,50 Hilos Confirmacion 1-21,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,8906,0,8382
1782115598931,9090,Login Tarotista,200,OK,50 Hilos Confirmacion 1-45,text,true,,856,281,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/auth/login,9089,0,8496
1782115611416,197,Confirmar Sesion,400,Bad Request,50 Hilos Confirmacion 1-32,text,false,,535,484,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/sesiones/1/confirmar,197,0,0
1782115611429,193,Confirmar Sesion,400,Bad Request,50 Hilos Confirmacion 1-43,text,false,,535,484,50,50,https://ingenious-smile-production-f4df.up.railway.app/api/sesiones/1/confirmar,192,0,0
